p1x p1y p2x p2y A1x A1y A2x A2y A3x A3y A4x A4y A5x A5y A6x A6y A7x A7y A8x A8y
-316.08 -6.48 -286.24 -79.18 281.64 -4.23 206.66 -4.99 -78.76 214.62 270.15 371.77 427.79 320.97 490.54 179.42 469.12 -20.29 404.07 -90.69 
-316.85 -79.18 -287.0 -162.58 281.64 -4.23 -0.71 53.15 -6.83 333.98 270.15 371.77 415.55 380.66 493.6 237.57 492.07 52.39 404.07 -90.69 
-282.41 -9.54 -240.33 -79.94 230.38 -2.7 185.23 -2.7 -72.64 211.55 225.02 355.41 377.3 278.89 499.72 65.4 498.96 3.42 395.66 -77.69 
-280.88 -79.18 -239.56 -167.17 230.38 -2.7 -0.71 49.33 19.19 337.04 225.02 355.41 375.77 344.69 489.01 257.46 498.96 3.42 395.66 -77.69 
-231.91 -12.61 -191.35 -81.47 183.7 -4.23 133.2 -2.7 -71.11 208.49 148.51 358.47 326.79 314.09 436.97 122.79 397.19 9.54 320.67 -2.7 
-231.91 -81.47 -190.59 -162.58 183.7 -4.23 -2.24 50.86 -22.13 350.82 172.23 392.14 326.79 314.09 412.49 291.13 428.56 59.28 320.67 -2.7 
-182.17 -10.3 -130.9 -81.47 121.72 -2.7 86.52 -3.47 -2.24 109.02 92.65 409.74 311.49 334.75 379.59 69.22 370.41 -11.88 269.41 -1.94 
-182.93 -81.47 -130.91 -165.64 121.72 -2.7 -2.24 50.86 -27.48 271.23 92.65 409.74 311.49 334.75 392.59 219.2 422.44 41.68 269.41 -1.94 
-122.49 -11.07 -60.51 -79.17 55.92 -5.76 -2.24 12.61 -5.3 97.54 -5.3 291.14 218.9 317.92 388.0 79.94 366.58 -1.17 208.95 -3.46 
-124.02 -78.41 -61.27 -163.34 55.92 -5.76 -2.23 50.1 -28.25 216.91 11.54 366.89 218.9 317.92 364.29 222.26 379.59 81.47 208.95 -3.46 
-55.15 -11.07 -10.0 -82.23 -46.62 -53.2 -69.58 12.61 -77.22 155.7 -41.26 335.51 149.26 333.98 425.5 138.86 414.79 -16.47 144.68 -5.76 
-55.91 -83.77 -9.24 -163.34 -46.62 -53.2 -100.18 71.52 -100.94 210.03 -41.26 335.51 149.26 333.98 374.23 306.43 378.82 60.81 144.68 -5.76 
